	dm	ssdmass
Actophilornis_africanus	0	-0.260198013
Anarhynchus_frontalis	0	0.014314557
Arenaria_interpres	0	-0.019654688
Arenaria_melanocephala	0	-0.038743264
Bartramia_longicauda	0	NA
Calidris_alba	0	-0.020875842
Calidris_alpina	0	-0.041392685
Calidris_bairdii	0	-0.004397956
Calidris_canutus	0	-0.06989117
Calidris_fuscicollis	0	-0.062074971
Calidris_maritima	0	-0.052577842
Calidris_mauri	0	-0.044203662
Calidris_melanotos	0	0.176757866
Calidris_minutilla	0	-0.038856937
Calidris_ptilocnemis	0	-0.036553554
Calidris_pusilla	0	-0.033423755
Calidris_temminckii	0	-0.058438522
Catoptrophorus_semipalmatus	0	-0.042980601
Charadrius_alexandrinus	0	0.010026131
Charadrius_asiaticus	0	-0.003433176
Charadrius_bicinctus	0	0.002964479
Charadrius_dubius	0	-0.010087293
Charadrius_hiaticula	0	-0.008130555
Charadrius_marginatus	0	0
Charadrius_melodus	0	-0.005502447
Charadrius_montanus	0	-0.04830468
Charadrius_sanctaehelenae	0	NA
Charadrius_semipalmatus	0	-0.015726971
Charadrius_tricollaris	0	NA
Charadrius_vociferus	0	-0.040061744
Charadrius_wilsonia	0	-0.028488538
Cladorhynchus_leucocephalus	0	0.002984854
Eudromias_morinellus	0	-0.068185862
Gallinago_media	0	-0.052706351
Himantopus_himantopus	0	0.018944196
Himantopus_mexicanus	0	0.004354508
Himantopus_novaezelandiae	0	-0.015581742
Hydrophasianus_chirurgus	0	-0.263241435
Irediparra_gallinacea	0	-0.231056751
Jacana_jacana	0	-0.120099751
Jacana_spinosa	0	-0.22354463
Limicola_falcinellus	0	NA
Limnodromus_griseus	0	-0.01913501
Limnodromus_scolopaceus	0	-0.037426498
Limosa_fedoa	0	-0.119132118
Limosa_haemastica	0	-0.114544868
Limosa_lapponica	0	-0.053458924
Limosa_limosa	0	-0.076706627
Micropalama_himantopus	0	-0.03440274
Microparra_capensis	0	NA
Numenius_americanus	0	-0.073765011
Numenius_arquata	0	-0.075668228
Numenius_phaeopus	0	-0.034035253
Numenius_tahitiensis	0	-0.111817059
Pedionomus_torquatus	0	-0.127344806
Phalaropus_fulicaria	0	-0.079466123
Phalaropus_lobatus	0	-0.062326592
Pluvialis_apricaria	0	-0.002474619
Pluvialis_dominica	0	-0.002984854
Pluvialis_fulva	0	-0.032184683
Pluvialis_squatarola	0	NA
Recurvirostra_americana	0	0.018658602
Recurvirostra_avosetta	0	NA
Steganopus_tricolor	0	-0.132443395
Thinocorus_orbignyianus	0	0.030194785
Thinocorus_rumicivorus	0	-0.08795517
Tringa_erythropus	0	-0.054537532
Tringa_flavipes	0	-0.019635471
Tringa_glareola	0	-0.070931171
Tringa_hypoleucos	0	-0.040958608
Tringa_incana	0	-0.060136615
Tringa_macularia	0	-0.114214871
Tringa_melanoleuca	0	-0.03066882
Tringa_nebularia	0	-0.007509602
Tringa_ochropus	0	-0.054357662
Tringa_stagnatilis	0	-0.054091072
Tringa_totanus	0	-0.040428657
Tryngites_subruficollis	0	0.123913247
Vanellus_albiceps	0	NA
Vanellus_armatus	0	-0.013201457
Vanellus_chilensis	0	NA
Vanellus_coronatus	0	0.039871512
Vanellus_crassirostris	0	0
Vanellus_gregarius	0	0.100370545
Vanellus_lugubris	0	-0.013664324
Vanellus_malabaricus	0	NA
Vanellus-miles	0	0.019155744
Vanellus_senegallus	0	NA
Vanellus_spinosus	0	0.017823271
Vanellus_tricolor	0	NA
Vanellus_vanellus	0	-0.029825984
Cursorius_coromandelicus	1	NA
Cursorius_cursor	1	0.010061326
Gallinago_gallinago	1	-0.061886991
Philomachus_pugnax	1	0.226971069
Rostratula_benghalensis	1	-0.037044269
Scolopax_minor	1	-0.096910013
Scolopax_rusticola	1	-0.009822911
Xema_sabini	1	0.039828464
Aethia_cristatella	2	0.027283098
Aethia_pusilla	2	NA
Aethia_pygmaea	2	NA
Alca_torda	2	0.02059802
Alle_alle	2	0.008543774
Anous_minutus	2	NA
Anous_stolidus	2	0.056856206
Anous_tenuirostris	2	-0.093117024
Brachyramphus_brevirostris	2	NA
Brachyramphus_marmoratus	2	-0.011260483
Burhinus_capensis	2	NA
Burhinus_grallarius	2	0.030957588
Burhinus_oedicnemus	2	0.024447269
Catharacta_lonnbergi	2	NA
Catharacta_maccormickii	2	-0.046403181
